# x_decay_H   closest_x_H   ratio_bfinal_over_yH
1.250000000000000000e+01 1.248516949150000066e+01 1.305751976200189013e+00
1.111111111111111072e+01 1.109191532850000073e+01 1.617242789396608371e+00
8.333333333333333925e+00 8.297958355560000498e+00 1.601682115100868442e+00
7.142857142857143238e+00 7.114586072929999894e+00 1.409418132781009581e+00
4.545454545454545858e+00 4.491054185860000381e+00 1.650586298227543658e+00
